aarónico	 1. adj. Perteneciente o relativo a Aarón, personaje bíblico, hermano de Moisés. 
armadura	 1. f. Conjunto de armas con que se revestían para su defensa los que iban a combatir. 2. f. armazón (‖ pieza o conjunto de piezas unidas). 3. f. esqueleto (‖ conjunto de piezas duras y resistentes). 4. f. Arq. Conjunto de piezas de madera o de hierro, que, ensambladas, sirve de soporte a la cubierta de un edificio. 5. f. Fís. Cada uno de los cuerpos conductores de la electricidad, separados por otro aislador, con que se forman la botella de Leiden y otros condensadores eléctricos. 6. f. Fís. Pieza de hierro que sirve para cerrar un circuito magnético. 7. f. Mar. Aro de metal con que se refuerza la unión de algunas cosas, y muy especialmente el codaste, las chumaceras y el pozo de la hélice. 8. f. p. us. cornamenta. 9. f. ant. armadijo. □ V. cuchillo de armadura 
armajal	 1. m. almarjal2. 
armajo	 1. m. almarjo (‖ planta). 
armamento	 1. m. Conjunto de todo lo necesario para la guerra. 2. m. Conjunto de armas de todo género para el servicio de un cuerpo militar. 3. m. Armas y fornitura de un soldado. 4. m. Equipo y provisión de un buque para el servicio a que se le destina. 5. m. p. us. armazón (‖ pieza o conjunto de piezas unidas). 
armamiento	 1. m. ant. armamento. 2. m. ant. cornamenta. 
armandijo	 1. m. p. us. armadijo. 
armar	 1. tr. Vestir o poner a alguien armas ofensivas o defensivas. U. t. c. prnl. 2. tr. Proveer de armas. U. t. c. prnl. 3. tr. Apercibir y preparar para la guerra. U. m. c. prnl. 4. tr. Aprestar ciertas armas, como la ballesta o el arco, para disparar. 5. tr. Asegurar la bayoneta en la boca del fusil. 6. tr. Concertar y juntar entre sí las varias piezas de que se compone un mueble, un artefacto, etc. Armar una cama, una máquina 7. tr. Sentar, fundar algo sobre otra cosa. 8. tr. Dicho de los pasamaneros o tiradores de oro: Poner este metal o la plata sobre otro metal. Oro armado sobre cobre 9. tr. Dejar a los árboles una o más guías según la forma, altura o disposición que se les quiere dar. 10. tr. coloq. Disponer, fraguar, formar algo. Armar un baile, un lío. U. t. c. prnl. Armarse una tempestad 11. tr. coloq. Mover, causar un pleito, una riña, un escándalo, etc. U. t. c. prnl. 12. tr. coloq. aviar (‖ proveer a alguien de lo que le hace falta). U. t. c. prnl. 13. tr. Mar. Proveer a una embarcación de todo lo necesario para su explotación comercial. 14. tr. ant. Poner armadijo o trampa para cazar o coger una res. 15. intr. Dicho de una cosa: Cuadrar o convenir a alguien, sentarle bien, acomodarse a su genio o dictamen. 16. intr. Ingen. Dicho del mineral explotable: Yacer entre las rocas que lo acompañan o contienen. 17. prnl. Ponerse voluntaria y deliberadamente en disposición de ánimo eficaz para lograr algún fin o resistir alguna contrariedad. Armarse de valor, de paciencia 18. prnl. Juntar dinero, enriquecerse. 19. prnl. Cuba y Méx. Hacerse de dinero o de bienes inesperada o impensadamente. 20. prnl. Guat. Dicho de un animal: plantarse. 21. prnl. Ven. Dicho de una serpiente: Disponerse a atacar. ~la. 1. loc. verb. coloq. En el juego, hacer trampas, componiendo los naipes para ganar. 2. loc. verb. coloq. Promover riña o alboroto. □ V. bragueta de armar carpintero de armar cuaderna de armar cuera de armar espejo de armar 
armario	 1. m. Mueble con puertas y anaqueles o perchas para guardar ropa y otros objetos. ~ empotrado. 1. m. El construido en el espesor de un muro o hueco de una pared. 
armatoste	 1. m. Objeto grande y de poca utilidad. 2. m. armadijo (‖ armazón de palos). 3. m. Aparato con que se armaban antiguamente las ballestas. 4. m. coloq. Persona corpulenta que para nada sirve. 
armazón	 1. amb. Pieza o conjunto de piezas unidas que presta estructura o sostén a algo. 2. amb. Acción y efecto de armar, concertar, juntar. 3. amb. armadura (‖ esqueleto). 
armella	 1. f. Anillo de hierro u otro metal que suele tener una espiga o tornillo para fijarlo. 2. f. ant. brazalete (‖ aro usado como adorno). 
armenia	□ V. bol de Armenia bolo de Armenia 
arménico	□ V. bol arménico bolo arménico -->drae -->armónico <k>armónico</k> armónico, ca. (Del lat. harmonĭcus, y este del gr. ἁρμονικός). 1. adj. Perteneciente o relativo a la armonía. Instrumento armónico Composición armónica 2. m. Fís. En una onda periódica, cualquiera de sus componentes sinusoidales, cuya frecuencia sea un múltiplo entero de la frecuencia fundamental. 3. m. Mús. Sonido agudo, que se produce naturalmente por la resonancia de otro fundamental, como en los instrumentos de cuerda cuando se apoya con mucha suavidad el dedo sobre los nodos de la cuerda. 4. f. Mús. Instrumento provisto de una serie de orificios con lengüeta, que se toca soplando o aspirando por estos orificios. armónico fundamental. 1. m. Fís. El de frecuencia más baja de todos los componentes sinusoidales de una onda periódica. □ V. música armónica proporción armónica razón armónica 
armenio	 1. adj. Natural de Armenia, antigua región del Cáucaso. U. t. c. s. 2. adj. Natural de Armenia, país de Europa. U. t. c. s. 3. adj. Perteneciente o relativo a esa región del Cáucaso o a este país de Europa. 4. adj. Se dice de ciertos cristianos de Oriente, originarios de Armenia, que conservan su antiquísimo rito y forman en lo religioso cuatro patriarcados. U. t. c. s. 5. m. Lengua armenia. 
armento	 1. m. desus. ganado (‖ conjunto de bestias). 
armería	 1. f. Edificio o sitio en que se guardan diferentes géneros de armas para curiosidad o estudio. 2. f. Arte de fabricar armas. 3. f. Tienda en que se venden armas. 4. f. Arte del blasón. □ V. cabo de armería casa cabeza de armería casa de cabo de armería 
armero	 1. m. Fabricante de armas. 2. m. Vendedor o componedor de armas. 3. m. Encargado de custodiar y tener limpias las armas. 4. m. Aparato de madera para tener las armas en los puestos militares y otros puntos. ~ mayor. 1. m. Jefe del oficio palatino de la real armería. 
armerol	 1. m. desus. Maestro armero. 
armífero	 1. adj. poét. Que lleva armas. 
armígero	 1. adj. poét. Que viste o lleva armas. 2. adj. Belicoso o inclinado a la guerra. 3. m. Escudero que tenía por oficio llevar las armas de su señor. Armígero del rey. 
armilar	□ V. esfera armilar 
armilla	 1. f. Arq. espira (‖ de la columna). 2. f. Astr. Antiguo instrumento que servía para resolver problemas de trigonometría esférica. 3. f. ant. brazalete (‖ aro usado como adorno). 
arminio	 1. m. p. us. armiño. 
armiñado	 1. adj. Guarnecido con piel de armiño. 2. adj. Semejante en la blancura a la piel del armiño. 
armipotente	 1. adj. poét. Poderoso en armas. 
armisonante	 1. adj. poét. Que lleva o tiene armas que suenan al ser movidas o al chocar unas con otras. 
armisticio	 1. m. Suspensión de hostilidades pactada entre pueblos o ejércitos beligerantes. 
armón	 1. m. Juego delantero de la cureña de campaña, con el cual se completa un carruaje de cuatro ruedas para mayor facilidad en la conducción, y se separa cuando la pieza ha de hacer fuego. 2. m. Méx. Vagoneta de cuatro ruedas que circula por raíles de ferrocarril. 
armoniaco	 1. adj. desus. amoniaco. 
armónica	 1. f. V. armónico. armónico, ca. (Del lat. harmonĭcus, y este del gr. ἁρμονικός). 1. adj. Perteneciente o relativo a la armonía. Instrumento armónico Composición armónica 2. m. Fís. En una onda periódica, cualquiera de sus componentes sinusoidales, cuya frecuencia sea un múltiplo entero de la frecuencia fundamental. 3. m. Mús. Sonido agudo, que se produce naturalmente por la resonancia de otro fundamental, como en los instrumentos de cuerda cuando se apoya con mucha suavidad el dedo sobre los nodos de la cuerda. 4. f. Mús. Instrumento provisto de una serie de orificios con lengüeta, que se toca soplando o aspirando por estos orificios. armónico fundamental. 1. m. Fís. El de frecuencia más baja de todos los componentes sinusoidales de una onda periódica. □ V. música armónica proporción armónica razón armónica 
armónicamente	 1. adv. m. De manera armónica. 
armonio	 1. m. Órgano pequeño, con la forma exterior del piano, y al cual se da el aire por medio de un fuelle que se mueve con los pies. 
armoniosamente	 1. adv. m. Con armonía. 
armonioso	 1. adj. Sonoro y agradable al oído. 2. adj. Que tiene armonía o correspondencia entre sus partes. 
armonista	 1. com. ant. músico (‖ persona que conoce el arte de la música). 
armonizable	 1. adj. Que puede armonizarse. 
armonización	 1. f. Acción y efecto de armonizar. 
armonizar	 1. tr. Poner en armonía, o hacer que no discuerden o se rechacen dos o más partes de un todo, o dos o más cosas que deben concurrir al mismo fin. 2. tr. Mús. Escoger y escribir los acordes correspondientes a una melodía o a un bajete. 3. intr. Estar en armonía. 
armoricano	 1. adj. Natural de Armórica. U. t. c. s. 2. adj. Perteneciente o relativo a este antiguo país, hoy Bretaña francesa. 
armos	 1. m. pl. Ar. Cruz de las caballerías. 
armuelle	 1. m. Planta anual de la familia de las Quenopodiáceas, de un metro de altura, con hojas triangulares, recortadas o arrugadas por su margen, flores en espiga, muy pequeñas y de color verde amarillento, y semilla negra y dura. En varias partes la cultivan y la comen cocida. 2. m. bledo (‖ planta quenopodiácea). 3. m. orzaga. ~ borde. 1. m. cenizo (‖ planta quenopodiácea). 
arna	 1. f. Vaso de colmena. 
arnacho	 1. m. asnallo. 
arnadí	 1. m. Dulce hecho al horno con calabaza y boniato y relleno de piñones, almendras, nueces, etc. 
arnasca	 1. f. Ál. Artesa o pila de piedra, generalmente colocada a la puerta de las casas. 
arnaúte	 1. adj. albanés. Apl. a pers., u. t. c. s. 
arnequín	 1. m. ant. maniquí. 
arnés	 1. m. Conjunto de armas que se acomodaban al cuerpo, asegurándolas con correas y hebillas. 2. m. Armazón provisto de correas y hebillas que se ata al cuerpo y sirve para sujetar o transportar algo o a alguien. 3. m. pl. Guarniciones de las caballerías. 4. m. pl. coloq. Cosas necesarias para algún fin. Manuel llevaba todos los arneses para cazar ~ tranzado. 1. m. El compuesto de diversas piezas con sus junturas, para que el hombre armado con él pudiera hacer fácilmente todos los movimientos del cuerpo. blasonar del ~. 1. loc. verb. p. us. Contar fanfarronadas o valentías imaginarias. 
arnillo	 1. m. Pez teleósteo del mar de las Antillas, del suborden de los Acantopterigios, de 20 a 30 cm de longitud, y forma y color parecidos a los del barbero, aunque no aplastado el cuerpo. 
aro	 1. m. Pieza de hierro o de otra materia rígida, en forma de circunferencia. 2. m. Argolla o anillo grande de hierro con su espigón movible, que sirve para el juego de la argolla. 3. m. Armadura de madera, circular o no, que sostiene el tablero de la mesa, y con la cual suelen estar ensamblados los pies. 4. m. aro que los niños hacen rodar valiéndose de un palo o de un alambre. 5. m. arete. 6. m. Dep. En gimnasia rítmica, aparato con el que se realizan diversos ejercicios. 7. m. Ec., R. Dom., Ur. y Ven. Anillo de compromiso. 8. m. Ven. alianza (‖ anillo matrimonial o de esponsales). cambiar ~s. 1. loc. verb. Bol. cruzar aros. cruzar ~s los novios. 1. loc. verb. Ven. Comprometerse en matrimonio intercambiando los anillos de esponsales. entrar, o pasar, alguien por el ~. 1. locs. verbs. coloqs. Hacer, vencido por fuerza o maña de otro, lo que no quería. □ V. cambio de aros. aro2. (Del lat. arum, y este del gr. ἄρον). 1. m. Planta perenne de la familia de las Aráceas, con raíz tuberculosa y feculenta, de la cual salen las hojas, que son sagitales, lisas, grandes y de color verde oscuro manchado a veces de negro. Tiene bohordo central, de tres a cuatro decímetros de altura, con espata larga y amarillenta que envuelve flores sin cáliz ni corola, espádice purpúreo prolongado en forma de maza, y frutos del color y tamaño de la grosella. ~ de Etiopía. 1. m. cala3. aro3. 1. interj. N Arg., Bol. y Chile. U. para que se suspenda el baile y que los bailarines tomen una copa o canten una copla entrecruzando los brazos. 
aroca	 1. f. Lienzo labrado en Arouca, villa de Portugal. 
aroideo	 1. adj. Bot. aráceo. U. t. c. s. f. ORTOGR. Escr. con may. inicial c. taxón. 
aroma	 1. f. Flor del aromo, dorada, vellosa, de olor muy fragante, pedunculada y de unos dos centímetros de diámetro. 2. m. Perfume, olor muy agradable. 3. m. Goma, bálsamo, leño o hierba de mucha fragancia. U. menos c. f. 
aromar	 1. tr. aromatizar. 
aromaticidad	 1. f. Cualidad de aromático. 2. f. Quím. Propiedad de las estructuras cíclicas, no saturadas, cuya estabilidad es superior a la de las estructuras de cadena abierta con igual número de enlaces múltiples. 
aromático	 1. adj. Que tiene aroma (‖ olor agradable). 2. adj. Quím. Se dice de las moléculas cíclicas, no saturadas, cuya estabilidad es superior a la de las estructuras de cadena abierta con igual número de enlaces múltiples. □ V. alcohol aromático cálamo aromático 
aromatización	 1. f. Acción y efecto de aromatizar. 2. f. Quím. Proceso, de interés especial en la química del petróleo, por el que un compuesto alifático se transforma en otro aromático. 
aromatizante	 1. m. Sustancia que se añade a algunos productos para darles olor. 
aromatizar	 1. tr. Dar o comunicar aroma a algo. 
aromo	 1. m. Árbol de la familia de las Mimosáceas, especie de acacia, que crece hasta 17 m en climas cálidos, con ramas espinosas, hojas compuestas, y por frutos vainas fuertes y encorvadas. Su flor es la aroma. 
aromoso	 1. adj. aromático. 
aron	 1. m. aro2. 
arpa	 1. f. Instrumento musical de forma triangular, con cuerdas colocadas verticalmente y que se tocan con ambas manos. 2. f. Méx. Caballo flaco. tronar como ~ vieja alguien o algo. 1. loc. verb. coloq. desus. Acabar desastrosa y repentinamente. 
arpado	 1. adj. Que remata en dientes pequeños como de sierra. arpado2, da. (De arpa). 1. adj. poét. harpado2. 
arpadura	 1. f. Araño o rasguño. 
arpar	 1. tr. Arañar o rasgar con las uñas. 2. tr. Hacer tiras o pedazos algo. 
arpegio	 1. m. Mús. Sucesión más o menos acelerada de los sonidos de un acorde. 
arpella	 1. f. Ave rapaz diurna, de color pardo con manchas rojizas en el pecho y el vientre, y collar y moño amarillentos. Anida en tierra, cerca de los sitios pantanosos. 
arpende	 1. m. Medida superficial usada por los antiguos hispanos y que, según San Isidoro, equivalía al acto cuadrado de los romanos. 
arpeo	 1. m. Mar. Instrumento de hierro con unos garfios, que sirve para rastrear, o para aferrarse dos embarcaciones. 
arpillera	 1. f. Tejido por lo común de estopa muy basta, con que se cubren determinadas cosas para defenderlas del polvo y del agua. 
arpista	 1. com. Músico que toca el arpa. 
arpón	 1. m. Instrumento que se compone de un astil de madera armado por uno de sus extremos con una punta de hierro que sirve para herir o penetrar, y de otras dos que miran hacia el astil y hacen presa. 2. m. Arq. grapa (‖ pieza metálica para sujetar papeles). 3. m. ant. veleta (‖ del viento). 
arponado	 1. adj. Parecido al arpón. 
arponar	 1. tr. Herir con arpón. 
arponero	 1. m. Fabricante de arpones. 2. m. Pescador o cazador con arpón. 
arqueada	 1. f. En los instrumentos musicales de arco, golpe o movimiento de este que hiere las cuerdas pasando por ellas. 2. f. arcada2. 
